,Rodada,Tempo,Presas,Predadores,Alpha,Beta,Gamma,Delta,x0,y0,Resultado,Ambiente,Anos
1654,1,16.539999999999786,136.7967994891307,57.38749871060469,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1655,1,16.549999999999788,137.14655471680766,57.5141992875989,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1656,1,16.55999999999979,137.4961615883331,57.64238654864871,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1657,1,16.56999999999979,137.8456021441493,57.772068643070625,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1658,1,16.579999999999792,138.19485822166115,57.903253766565236,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1659,1,16.589999999999794,138.5439114543005,58.03595016065645,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1660,1,16.599999999999795,138.89274327061287,58.17016611210596,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1661,1,16.609999999999797,139.24133489336748,58.305909952302386,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1662,1,16.6199999999998,139.5896673386918,58.44319005662444,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1663,1,16.6299999999998,139.93772141523098,58.58201484377766,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1664,1,16.6399999999998,140.2854777233333,58.72239277510408,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1665,1,16.649999999999803,140.63291665426252,58.86433235386422,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1666,1,16.659999999999805,140.9800183894383,59.00784212449082,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1667,1,16.669999999999806,141.32676289970502,59.152930671813785,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1668,1,16.679999999999808,141.67312994463055,59.29960662025559,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1669,1,16.68999999999981,142.0190990718357,59.44787863299667,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1670,1,16.69999999999981,142.36464961635534,59.59775541111009,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
